Drug1,Drug2,Cell_Line,Synergy,Tissue
MK-2206,SCH772984,MCF7,0,breast
MK-2206,SCH772984,MDA.MB.157,0,breast
MK-2206,OSI-027,HCC1419,1,breast
MK-2206,OSI-027,HCC1428,0,breast
MK-2206,SCH772984,MDA.MB.231,0,breast
MK-2206,SCH772984,MDA.MB.361,1,breast
MK-2206,SCH772984,MDA.MB.415,0,breast
MK-2206,SCH772984,MDA.MB.436,0,breast
MK-2206,SCH772984,MDA.MB.453,0,breast
MK-2206,OSI-027,HCC1806,1,breast
MK-2206,SCH772984,MDA.MB.468,0,breast
MK-2206,OSI-027,HCC1937,0,breast
MK-2206,SCH772984,MFM.223,0,breast
MK-2206,OSI-027,HCC1954,1,breast
MK-2206,SCH772984,OCUB.M,0,breast
MK-2206,SCH772984,T47D,0,breast
MK-2206,SCH772984,UACC.893,1,breast
MK-2206,OSI-027,HCC38,0,breast
MK-2206,OSI-027,HCC70,0,breast
MK-2206,Entinostat,AU565,0,breast
MK-2206,OSI-027,Hs.578.T,0,breast
MK-2206,Entinostat,BT.549,0,breast
MK-2206,Entinostat,CAL.120,0,breast
MK-2206,Entinostat,CAL.51,0,breast
MK-2206,OSI-027,JIMT.1,1,breast
MK-2206,OSI-027,MCF7,0,breast
MK-2206,Entinostat,CAMA.1,0,breast
MK-2206,Entinostat,COLO.824,0,breast
MK-2206,Entinostat,DU.4475,0,breast
MK-2206,OSI-027,MDA.MB.157,0,breast
MK-2206,Entinostat,EFM.19,0,breast
MK-2206,Entinostat,EVSA.T,1,breast
MK-2206,Entinostat,HCC1143,0,breast
MK-2206,OSI-027,MDA.MB.231,0,breast
MK-2206,Entinostat,HCC1187,0,breast
MK-2206,Entinostat,HCC1395,0,breast
MK-2206,Entinostat,HCC1419,0,breast
MK-2206,Entinostat,HCC1428,0,breast
MK-2206,OSI-027,MDA.MB.361,0,breast
MK-2206,OSI-027,MDA.MB.415,0,breast
MK-2206,Entinostat,HCC1806,0,breast
MK-2206,Venetoclax,DU.4475,0,breast
MK-2206,OSI-027,MDA.MB.436,1,breast
MK-2206,Venetoclax,EFM.19,0,breast
MK-2206,OSI-027,MDA.MB.453,0,breast
MK-2206,Venetoclax,EVSA.T,0,breast
MK-2206,Venetoclax,HCC1143,0,breast
MK-2206,OSI-027,MDA.MB.468,1,breast
MK-2206,Venetoclax,HCC1187,0,breast
MK-2206,Venetoclax,HCC1395,0,breast
MK-2206,Venetoclax,HCC1419,0,breast
MK-2206,OSI-027,MFM.223,0,breast
MK-2206,Venetoclax,HCC1428,0,breast
MK-2206,Venetoclax,HCC1806,0,breast
MK-2206,Venetoclax,HCC1954,0,breast
MK-2206,OSI-027,OCUB.M,1,breast
MK-2206,OSI-027,T47D,0,breast
MK-2206,Venetoclax,HCC38,0,breast
MK-2206,Venetoclax,HCC70,0,breast
MK-2206,Venetoclax,Hs.578.T,0,breast
MK-2206,Venetoclax,JIMT.1,0,breast
MK-2206,OSI-027,UACC.893,1,breast
MK-2206,Venetoclax,MCF7,1,breast
MK-2206,Venetoclax,MDA.MB.157,0,breast
MK-2206,Venetoclax,MDA.MB.231,0,breast
MK-2206,Venetoclax,MDA.MB.361,0,breast
MK-2206,Venetoclax,MDA.MB.415,0,breast
MK-2206,Venetoclax,MDA.MB.436,0,breast
MK-2206,Venetoclax,MDA.MB.453,0,breast
MK-2206,Ribociclib,AU565,0,breast
MK-2206,Venetoclax,MDA.MB.468,0,breast
MK-2206,Venetoclax,MFM.223,0,breast
MK-2206,Venetoclax,OCUB.M,1,breast
MK-2206,Venetoclax,T47D,0,breast
MK-2206,Venetoclax,UACC.893,0,breast
MK-2206,Ribociclib,BT.549,0,breast
MK-2206,AZD6482,AU565,0,breast
MK-2206,Ribociclib,CAL.120,0,breast
MK-2206,AZD6482,BT.549,0,breast
MK-2206,Ribociclib,CAL.51,0,breast
MK-2206,AZD6482,CAL.120,0,breast
MK-2206,AZD6482,CAL.51,0,breast
MK-2206,Ribociclib,CAMA.1,0,breast
MK-2206,Ribociclib,COLO.824,0,breast
MK-2206,AZD6482,CAMA.1,1,breast
MK-2206,Ribociclib,DU.4475,0,breast
MK-2206,AZD6482,COLO.824,0,breast
MK-2206,AZD6482,DU.4475,0,breast
MK-2206,Ribociclib,EFM.19,0,breast
MK-2206,AZD6482,EFM.19,0,breast
MK-2206,AZD6482,EVSA.T,0,breast
MK-2206,AZD6482,HCC1143,0,breast
MK-2206,Ribociclib,EVSA.T,0,breast
MK-2206,AZD6482,HCC1187,0,breast
MK-2206,Ribociclib,HCC1143,0,breast
MK-2206,AZD6482,HCC1395,0,breast
MK-2206,Ribociclib,HCC1187,0,breast
MK-2206,AZD6482,HCC1419,0,breast
MK-2206,AZD6482,HCC1428,0,breast
MK-2206,Ribociclib,HCC1395,0,breast
MK-2206,Ribociclib,HCC1419,0,breast
MK-2206,AZD6482,HCC1806,0,breast
MK-2206,Ribociclib,HCC1428,0,breast
MK-2206,AZD6482,HCC1937,0,breast
MK-2206,AZD6482,HCC1954,0,breast
MK-2206,AZD6482,HCC38,0,breast
MK-2206,AZD6482,HCC70,0,breast
MK-2206,Ribociclib,HCC1806,0,breast
MK-2206,Ribociclib,HCC1954,0,breast
MK-2206,AZD6482,Hs.578.T,0,breast
MK-2206,AZD6482,JIMT.1,0,breast
MK-2206,AZD6482,MCF7,0,breast
MK-2206,AZD6482,MDA.MB.157,0,breast
MK-2206,AZD6482,MDA.MB.231,0,breast
MK-2206,Ribociclib,HCC38,0,breast
MK-2206,Ribociclib,HCC70,0,breast
MK-2206,AZD6482,MDA.MB.361,0,breast
MK-2206,AZD6482,MDA.MB.415,0,breast
MK-2206,AZD6482,MDA.MB.436,0,breast
MK-2206,AZD6482,MDA.MB.453,0,breast
MK-2206,Ribociclib,Hs.578.T,0,breast
MK-2206,AZD6482,MDA.MB.468,0,breast
MK-2206,Ribociclib,JIMT.1,0,breast
MK-2206,Ribociclib,MCF7,1,breast
MK-2206,AZD6482,MFM.223,0,breast
MK-2206,AZD6482,OCUB.M,0,breast
MK-2206,Ribociclib,MDA.MB.157,0,breast
MK-2206,AZD6482,T47D,0,breast
MK-2206,AZD6482,UACC.893,0,breast
MK-2206,Ribociclib,MDA.MB.231,0,breast
MK-2206,Ribociclib,MDA.MB.361,0,breast
MK-2206,JQ1,AU565,0,breast
MK-2206,Ribociclib,MDA.MB.415,0,breast
MK-2206,Ribociclib,MDA.MB.436,0,breast
MK-2206,JQ1,BT.549,0,breast
MK-2206,Ribociclib,MDA.MB.453,0,breast
MK-2206,JQ1,CAL.120,0,breast
MK-2206,Ribociclib,MDA.MB.468,0,breast
MK-2206,Ribociclib,MFM.223,0,breast
MK-2206,JQ1,CAL.51,0,breast
MK-2206,JQ1,CAMA.1,1,breast
MK-2206,Ribociclib,OCUB.M,0,breast
MK-2206,JQ1,COLO.824,0,breast
MK-2206,JQ1,DU.4475,0,breast
MK-2206,Ribociclib,T47D,0,breast
MK-2206,JQ1,EFM.19,1,breast
MK-2206,Ribociclib,UACC.893,0,breast
MK-2206,JQ1,EVSA.T,0,breast
MK-2206,JQ1,HCC1143,0,breast
MK-2206,JQ1,HCC1187,0,breast
MK-2206,JQ1,HCC1395,0,breast
MK-2206,Venetoclax,AU565,0,breast
MK-2206,JQ1,HCC1419,0,breast
MK-2206,JQ1,HCC1428,0,breast
MK-2206,JQ1,HCC1806,0,breast
MK-2206,JQ1,HCC1937,0,breast
MK-2206,Venetoclax,BT.549,0,breast
MK-2206,JQ1,HCC1954,0,breast
MK-2206,Venetoclax,CAL.120,0,breast
MK-2206,JQ1,HCC38,0,breast
MK-2206,JQ1,HCC70,0,breast
MK-2206,Venetoclax,CAL.51,0,breast
MK-2206,JQ1,Hs.578.T,0,breast
MK-2206,Venetoclax,CAMA.1,0,breast
MK-2206,JQ1,JIMT.1,0,breast
MK-2206,Venetoclax,COLO.824,0,breast
MK-2206,JQ1,MCF7,0,breast
MK-2206,JQ1,MDA.MB.157,0,breast
Palbociclib,Camptothecin,AU565,0,breast
MK-2206,JQ1,MDA.MB.231,0,breast
MK-2206,JQ1,MDA.MB.361,0,breast
MK-2206,JQ1,MDA.MB.415,1,breast
MK-2206,JQ1,MDA.MB.436,0,breast
MK-2206,JQ1,MDA.MB.453,0,breast
MK-2206,JQ1,MDA.MB.468,0,breast
MK-2206,JQ1,MFM.223,0,breast
MK-2206,JQ1,OCUB.M,1,breast
MK-2206,JQ1,T47D,0,breast
MK-2206,JQ1,UACC.893,0,breast
Palbociclib,Camptothecin,BT.549,0,breast
Palbociclib,Camptothecin,CAL.120,0,breast
Palbociclib,Camptothecin,CAL.51,0,breast
Palbociclib,Camptothecin,CAMA.1,0,breast
Palbociclib,Camptothecin,COLO.824,0,breast
Palbociclib,Camptothecin,DU.4475,0,breast
Palbociclib,Camptothecin,EFM.19,0,breast
Palbociclib,Camptothecin,EVSA.T,0,breast
Palbociclib,Camptothecin,HCC1143,0,breast
Palbociclib,Camptothecin,HCC1187,0,breast
Palbociclib,Camptothecin,HCC1395,0,breast
Palbociclib,Camptothecin,HCC1419,0,breast
Palbociclib,Camptothecin,HCC1428,0,breast
Palbociclib,Camptothecin,HCC1806,0,breast
Palbociclib,Camptothecin,HCC1937,0,breast
Palbociclib,Camptothecin,HCC1954,0,breast
Palbociclib,Camptothecin,HCC38,0,breast
Palbociclib,Camptothecin,HCC70,0,breast
Palbociclib,Camptothecin,Hs.578.T,0,breast
Palbociclib,Camptothecin,JIMT.1,0,breast
Palbociclib,Camptothecin,MCF7,0,breast
Palbociclib,Camptothecin,MDA.MB.157,0,breast
Palbociclib,Camptothecin,MDA.MB.231,0,breast
Palbociclib,Camptothecin,MDA.MB.361,0,breast
Palbociclib,Camptothecin,MDA.MB.415,0,breast
Palbociclib,Camptothecin,MDA.MB.436,0,breast
Palbociclib,Camptothecin,MDA.MB.453,0,breast
Palbociclib,Camptothecin,MDA.MB.468,0,breast
Palbociclib,Camptothecin,MFM.223,0,breast
Palbociclib,Camptothecin,OCUB.M,0,breast
Palbociclib,Camptothecin,T47D,0,breast
Palbociclib,Camptothecin,UACC.893,0,breast
Palbociclib,Nilotinib,AU565,0,breast
Palbociclib,Nilotinib,BT.549,0,breast
Palbociclib,Nilotinib,CAL.120,0,breast
Palbociclib,Nilotinib,CAL.51,0,breast
Palbociclib,Nilotinib,CAMA.1,0,breast
Palbociclib,Nilotinib,COLO.824,0,breast
Palbociclib,Nilotinib,DU.4475,0,breast
Palbociclib,Nilotinib,EFM.19,0,breast
Palbociclib,Nilotinib,EVSA.T,0,breast
Palbociclib,Nilotinib,HCC1143,0,breast
Palbociclib,Nilotinib,HCC1187,0,breast
Palbociclib,Nilotinib,HCC1395,0,breast
Palbociclib,Nilotinib,HCC1419,0,breast
Palbociclib,Nilotinib,HCC1428,0,breast
Palbociclib,Nilotinib,HCC1806,0,breast
Palbociclib,Nilotinib,HCC1937,0,breast
Palbociclib,Nilotinib,HCC1954,0,breast
Palbociclib,Nilotinib,HCC38,0,breast
Palbociclib,Nilotinib,HCC70,0,breast
Palbociclib,Nilotinib,Hs.578.T,0,breast
Palbociclib,Nilotinib,JIMT.1,0,breast
Palbociclib,Nilotinib,MCF7,0,breast
Palbociclib,Nilotinib,MDA.MB.157,0,breast
Palbociclib,Nilotinib,MDA.MB.231,0,breast
Palbociclib,Nilotinib,MDA.MB.361,0,breast
Palbociclib,Nilotinib,MDA.MB.415,0,breast
Palbociclib,Nilotinib,MDA.MB.436,0,breast
Palbociclib,Nilotinib,MDA.MB.453,0,breast
Palbociclib,Nilotinib,MDA.MB.468,0,breast
Palbociclib,Nilotinib,MFM.223,0,breast
Palbociclib,Nilotinib,OCUB.M,0,breast
Palbociclib,Nilotinib,T47D,0,breast
Palbociclib,Nilotinib,UACC.893,0,breast
Palbociclib,KU-55933,JIMT.1,0,breast
Palbociclib,KU-55933,MCF7,0,breast
Palbociclib,KU-55933,MDA.MB.157,0,breast
Palbociclib,KU-55933,MDA.MB.231,0,breast
Palbociclib,KU-55933,MDA.MB.361,0,breast
Palbociclib,KU-55933,MDA.MB.415,0,breast
Palbociclib,KU-55933,MDA.MB.436,0,breast
Palbociclib,KU-55933,MDA.MB.453,0,breast
Palbociclib,KU-55933,MDA.MB.468,0,breast
Palbociclib,KU-55933,MFM.223,0,breast
Palbociclib,KU-55933,OCUB.M,0,breast
Palbociclib,KU-55933,T47D,0,breast
Palbociclib,KU-55933,UACC.893,0,breast
Palbociclib,Afatinib,AU565,0,breast
Palbociclib,Afatinib,BT.549,0,breast
Palbociclib,Afatinib,CAL.120,0,breast
Palbociclib,Afatinib,CAL.51,0,breast
Palbociclib,Afatinib,CAMA.1,0,breast
Palbociclib,Afatinib,COLO.824,0,breast
Palbociclib,Afatinib,DU.4475,0,breast
Palbociclib,Afatinib,EFM.19,0,breast
Palbociclib,Afatinib,EVSA.T,0,breast
Palbociclib,Afatinib,HCC1143,0,breast
Palbociclib,Afatinib,HCC1187,0,breast
Palbociclib,Afatinib,HCC1395,0,breast
Palbociclib,Afatinib,HCC1419,0,breast
Palbociclib,Afatinib,HCC1428,0,breast
Palbociclib,Afatinib,HCC1806,0,breast
Palbociclib,Afatinib,HCC1937,0,breast
Palbociclib,Afatinib,HCC1954,0,breast
Palbociclib,Afatinib,HCC38,0,breast
Palbociclib,Afatinib,HCC70,0,breast
Palbociclib,Afatinib,Hs.578.T,0,breast
Palbociclib,Afatinib,JIMT.1,0,breast
Palbociclib,Afatinib,MCF7,0,breast
Palbociclib,Afatinib,MDA.MB.157,0,breast
Palbociclib,Afatinib,MDA.MB.231,0,breast
Palbociclib,Afatinib,MDA.MB.361,0,breast
Palbociclib,Afatinib,MDA.MB.415,0,breast
Palbociclib,Afatinib,MDA.MB.436,0,breast
Palbociclib,Afatinib,MDA.MB.453,0,breast
Palbociclib,Afatinib,MDA.MB.468,0,breast
Palbociclib,Afatinib,MFM.223,0,breast
Palbociclib,SB216763,AU565,0,breast
Palbociclib,Afatinib,OCUB.M,0,breast
Palbociclib,Afatinib,T47D,0,breast
Palbociclib,Afatinib,UACC.893,0,breast
Palbociclib,NU7441,AU565,0,breast
Palbociclib,SB216763,BT.549,0,breast
Palbociclib,SB216763,CAL.120,0,breast
Palbociclib,NU7441,BT.549,0,breast
Palbociclib,NU7441,CAL.120,0,breast
Palbociclib,SB216763,CAL.51,0,breast
Palbociclib,NU7441,CAL.51,0,breast
Palbociclib,NU7441,CAMA.1,0,breast
Palbociclib,NU7441,COLO.824,0,breast
Palbociclib,SB216763,CAMA.1,0,breast
Palbociclib,NU7441,DU.4475,0,breast
Palbociclib,SB216763,COLO.824,0,breast
Palbociclib,NU7441,EFM.19,0,breast
Palbociclib,SB216763,DU.4475,0,breast
Palbociclib,NU7441,EVSA.T,0,breast
Palbociclib,NU7441,HCC1143,0,breast
Palbociclib,SB216763,EFM.19,0,breast
Palbociclib,NU7441,HCC1187,0,breast
Palbociclib,NU7441,HCC1395,0,breast
Palbociclib,NU7441,HCC1419,0,breast
Palbociclib,SB216763,EVSA.T,0,breast
Palbociclib,NU7441,HCC1428,0,breast
Palbociclib,SB216763,HCC1143,0,breast
Palbociclib,SB216763,HCC1187,0,breast
Palbociclib,NU7441,HCC1806,0,breast
Palbociclib,NU7441,HCC1937,0,breast
Palbociclib,SB216763,HCC1395,0,breast
Palbociclib,NU7441,HCC1954,0,breast
Palbociclib,SB216763,HCC1419,0,breast
Palbociclib,NU7441,HCC38,0,breast
Palbociclib,SB216763,HCC1428,0,breast
Palbociclib,NU7441,HCC70,0,breast
Palbociclib,NU7441,Hs.578.T,0,breast
Palbociclib,NU7441,JIMT.1,0,breast
Palbociclib,NU7441,MCF7,0,breast
Palbociclib,NU7441,MDA.MB.157,0,breast
Palbociclib,SB216763,HCC1806,0,breast
Palbociclib,NU7441,MDA.MB.231,0,breast
Palbociclib,SB216763,HCC1937,0,breast
Palbociclib,NU7441,MDA.MB.361,0,breast
Palbociclib,NU7441,MDA.MB.415,0,breast
Palbociclib,NU7441,MDA.MB.436,0,breast
Palbociclib,SB216763,HCC1954,0,breast
Palbociclib,NU7441,MDA.MB.453,0,breast
Palbociclib,NU7441,MDA.MB.468,0,breast
Palbociclib,NU7441,MFM.223,0,breast
Palbociclib,SB216763,HCC38,0,breast
Palbociclib,NU7441,OCUB.M,0,breast
Palbociclib,NU7441,T47D,0,breast
Palbociclib,SB216763,HCC70,0,breast
Palbociclib,NU7441,UACC.893,0,breast
Palbociclib,SB216763,Hs.578.T,0,breast
Palbociclib,Doramapimod,AU565,0,breast
Palbociclib,SB216763,JIMT.1,0,breast
Palbociclib,SB216763,MCF7,0,breast
Palbociclib,Doramapimod,BT.549,0,breast
Palbociclib,Doramapimod,CAL.120,0,breast
Palbociclib,Doramapimod,CAL.51,0,breast
Palbociclib,SB216763,MDA.MB.157,0,breast
Palbociclib,Doramapimod,CAMA.1,0,breast
Palbociclib,Doramapimod,COLO.824,0,breast
Palbociclib,Doramapimod,DU.4475,0,breast
Palbociclib,SB216763,MDA.MB.231,0,breast
Palbociclib,Doramapimod,EFM.19,0,breast
Palbociclib,Doramapimod,EVSA.T,0,breast
Palbociclib,Doramapimod,HCC1143,0,breast
Palbociclib,Doramapimod,HCC1187,0,breast
Palbociclib,Doramapimod,HCC1395,0,breast
Palbociclib,SB216763,MDA.MB.361,0,breast
Palbociclib,SB216763,MDA.MB.415,0,breast
Palbociclib,Doramapimod,HCC1419,0,breast
Palbociclib,Doramapimod,HCC1428,0,breast
Palbociclib,SB216763,MDA.MB.436,0,breast
Palbociclib,Doramapimod,HCC1806,0,breast
Palbociclib,SB216763,MDA.MB.453,0,breast
Palbociclib,Doramapimod,HCC1937,0,breast
Palbociclib,Doramapimod,HCC1954,0,breast
Palbociclib,SB216763,MDA.MB.468,0,breast
Palbociclib,SB216763,MFM.223,0,breast
Palbociclib,Doramapimod,HCC38,0,breast
Palbociclib,Doramapimod,HCC70,0,breast
Palbociclib,Doramapimod,Hs.578.T,0,breast
Palbociclib,Doramapimod,JIMT.1,0,breast
Palbociclib,SB216763,OCUB.M,0,breast
Palbociclib,Doramapimod,MCF7,0,breast
Palbociclib,Doramapimod,MDA.MB.157,0,breast
Palbociclib,SB216763,T47D,0,breast
Palbociclib,Doramapimod,MDA.MB.231,0,breast
Palbociclib,Doramapimod,MDA.MB.361,0,breast
Palbociclib,SB216763,UACC.893,0,breast
Palbociclib,Doramapimod,MDA.MB.415,0,breast
Palbociclib,Doramapimod,MDA.MB.436,0,breast
Palbociclib,Doramapimod,MDA.MB.453,0,breast
Palbociclib,Doramapimod,MDA.MB.468,0,breast
Palbociclib,Doramapimod,MFM.223,0,breast
Palbociclib,Doramapimod,OCUB.M,0,breast
Palbociclib,Doramapimod,T47D,0,breast
Palbociclib,KU-55933,AU565,0,breast
Palbociclib,Doramapimod,UACC.893,0,breast
Palbociclib,Wee1 Inhibitor,AU565,0,breast
Palbociclib,Wee1 Inhibitor,BT.549,0,breast
Palbociclib,Wee1 Inhibitor,CAL.120,0,breast
Palbociclib,KU-55933,BT.549,0,breast
Palbociclib,KU-55933,CAL.120,0,breast
Palbociclib,Wee1 Inhibitor,CAL.51,0,breast
Palbociclib,Wee1 Inhibitor,CAMA.1,0,breast
Palbociclib,Wee1 Inhibitor,COLO.824,0,breast
Palbociclib,KU-55933,CAL.51,0,breast
Palbociclib,Wee1 Inhibitor,DU.4475,0,breast
Palbociclib,Wee1 Inhibitor,EFM.19,0,breast
Palbociclib,KU-55933,CAMA.1,0,breast
Palbociclib,Wee1 Inhibitor,EVSA.T,0,breast
Palbociclib,Wee1 Inhibitor,HCC1143,0,breast
Palbociclib,KU-55933,COLO.824,0,breast
Palbociclib,Wee1 Inhibitor,HCC1187,0,breast
Palbociclib,Wee1 Inhibitor,HCC1395,0,breast
Palbociclib,KU-55933,DU.4475,0,breast
Palbociclib,Wee1 Inhibitor,HCC1419,0,breast
Palbociclib,KU-55933,EFM.19,0,breast
Palbociclib,Wee1 Inhibitor,HCC1428,0,breast
Palbociclib,KU-55933,EVSA.T,0,breast
Palbociclib,Wee1 Inhibitor,HCC1806,0,breast
Palbociclib,Wee1 Inhibitor,HCC1937,0,breast
Palbociclib,Wee1 Inhibitor,HCC1954,0,breast
Palbociclib,KU-55933,HCC1143,0,breast
Palbociclib,KU-55933,HCC1187,0,breast
Palbociclib,KU-55933,HCC1395,0,breast
Palbociclib,Wee1 Inhibitor,HCC38,0,breast
Palbociclib,KU-55933,HCC1419,0,breast
Palbociclib,Wee1 Inhibitor,HCC70,0,breast
Palbociclib,KU-55933,HCC1428,0,breast
Palbociclib,Wee1 Inhibitor,Hs.578.T,0,breast
Palbociclib,Wee1 Inhibitor,JIMT.1,0,breast
Palbociclib,Wee1 Inhibitor,MCF7,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.157,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.231,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.361,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.415,0,breast
Palbociclib,KU-55933,HCC1806,0,breast
Palbociclib,KU-55933,HCC1937,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.436,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.453,0,breast
Palbociclib,Wee1 Inhibitor,MDA.MB.468,0,breast
Palbociclib,KU-55933,HCC1954,0,breast
Palbociclib,Wee1 Inhibitor,MFM.223,0,breast
Palbociclib,Wee1 Inhibitor,OCUB.M,0,breast
Palbociclib,Wee1 Inhibitor,T47D,0,breast
Palbociclib,Wee1 Inhibitor,UACC.893,0,breast
Palbociclib,KU-55933,HCC38,0,breast
Palbociclib,KU-55933,HCC70,0,breast
Palbociclib,KU-55933,Hs.578.T,0,breast
Palbociclib,ZM447439,AU565,0,breast
Palbociclib,Alisertib,MDA.MB.453,0,breast
Palbociclib,Alisertib,MDA.MB.468,0,breast
Palbociclib,Alisertib,MFM.223,0,breast
Palbociclib,Alisertib,OCUB.M,0,breast
Palbociclib,Alisertib,T47D,0,breast
Palbociclib,ZM447439,BT.549,0,breast
Palbociclib,Alisertib,UACC.893,0,breast
Palbociclib,ZM447439,CAL.120,0,breast
Palbociclib,RO-3306,AU565,0,breast
Palbociclib,ZM447439,CAL.51,0,breast
Palbociclib,ZM447439,CAMA.1,0,breast
Palbociclib,RO-3306,BT.549,0,breast
Palbociclib,RO-3306,CAL.120,0,breast
Palbociclib,ZM447439,COLO.824,0,breast
Palbociclib,ZM447439,DU.4475,0,breast
Palbociclib,RO-3306,CAL.51,0,breast
Palbociclib,ZM447439,EFM.19,0,breast
Palbociclib,RO-3306,CAMA.1,0,breast
Palbociclib,RO-3306,COLO.824,0,breast
Palbociclib,ZM447439,EVSA.T,0,breast
Palbociclib,RO-3306,DU.4475,0,breast
Palbociclib,RO-3306,EFM.19,0,breast
Palbociclib,ZM447439,HCC1143,0,breast
Palbociclib,ZM447439,HCC1187,0,breast
Palbociclib,RO-3306,EVSA.T,0,breast
Palbociclib,ZM447439,HCC1395,0,breast
Palbociclib,RO-3306,HCC1143,0,breast
Palbociclib,RO-3306,HCC1187,0,breast
Palbociclib,ZM447439,HCC1419,0,breast
Palbociclib,RO-3306,HCC1395,0,breast
Palbociclib,RO-3306,HCC1419,0,breast
Palbociclib,ZM447439,HCC1428,0,breast
Palbociclib,RO-3306,HCC1428,0,breast
Palbociclib,RO-3306,HCC1806,0,breast
Palbociclib,RO-3306,HCC1937,0,breast
Palbociclib,ZM447439,HCC1806,0,breast
Palbociclib,RO-3306,HCC1954,0,breast
Palbociclib,ZM447439,HCC1937,0,breast
Palbociclib,ZM447439,HCC1954,0,breast
Palbociclib,RO-3306,HCC38,0,breast
Palbociclib,RO-3306,HCC70,0,breast
Palbociclib,RO-3306,Hs.578.T,0,breast
Palbociclib,ZM447439,HCC38,0,breast
Palbociclib,RO-3306,JIMT.1,0,breast
Palbociclib,ZM447439,HCC70,0,breast
Palbociclib,RO-3306,MCF7,1,breast
Palbociclib,RO-3306,MDA.MB.157,0,breast
Palbociclib,RO-3306,MDA.MB.231,0,breast
Palbociclib,ZM447439,Hs.578.T,0,breast
Palbociclib,ZM447439,JIMT.1,0,breast
Palbociclib,RO-3306,MDA.MB.361,0,breast
Palbociclib,ZM447439,MCF7,0,breast
Palbociclib,RO-3306,MDA.MB.415,0,breast
Palbociclib,RO-3306,MDA.MB.436,0,breast
Palbociclib,ZM447439,MDA.MB.157,0,breast
Palbociclib,RO-3306,MDA.MB.453,0,breast
Palbociclib,RO-3306,MDA.MB.468,0,breast
Palbociclib,ZM447439,MDA.MB.231,0,breast
Palbociclib,RO-3306,MFM.223,0,breast
Palbociclib,ZM447439,MDA.MB.361,0,breast
Palbociclib,RO-3306,OCUB.M,0,breast
Palbociclib,RO-3306,T47D,0,breast
Palbociclib,ZM447439,MDA.MB.415,0,breast
Palbociclib,ZM447439,MDA.MB.436,0,breast
Palbociclib,RO-3306,UACC.893,0,breast
Palbociclib,ZM447439,MDA.MB.453,0,breast
Palbociclib,ZM447439,MDA.MB.468,0,breast
Palbociclib,ZM447439,MFM.223,0,breast
Palbociclib,ZM447439,OCUB.M,0,breast
Palbociclib,ZM447439,T47D,0,breast
Palbociclib,ZM447439,UACC.893,0,breast
Palbociclib,Alisertib,AU565,0,breast
Palbociclib,Alisertib,BT.549,0,breast
Palbociclib,Alisertib,CAL.120,0,breast
Palbociclib,Alisertib,CAL.51,0,breast
Palbociclib,Alisertib,CAMA.1,0,breast
Palbociclib,Alisertib,COLO.824,0,breast
Palbociclib,Alisertib,DU.4475,0,breast
Palbociclib,Alisertib,EFM.19,0,breast
Palbociclib,Alisertib,EVSA.T,0,breast
Palbociclib,Alisertib,HCC1143,0,breast
Palbociclib,Alisertib,HCC1187,0,breast
Palbociclib,Alisertib,HCC1395,0,breast
Palbociclib,Alisertib,HCC1419,0,breast
Palbociclib,Alisertib,HCC1428,0,breast
Palbociclib,Alisertib,HCC1806,0,breast
Palbociclib,Alisertib,HCC1937,0,breast
Palbociclib,Alisertib,HCC1954,0,breast
Palbociclib,Alisertib,HCC38,0,breast
Palbociclib,Alisertib,HCC70,0,breast
Palbociclib,Alisertib,Hs.578.T,0,breast
Palbociclib,Alisertib,JIMT.1,0,breast
Palbociclib,Alisertib,MCF7,0,breast
Palbociclib,Alisertib,MDA.MB.157,0,breast
Palbociclib,Alisertib,MDA.MB.231,0,breast
Palbociclib,Alisertib,MDA.MB.361,0,breast
Palbociclib,Alisertib,MDA.MB.415,0,breast
Palbociclib,Alisertib,MDA.MB.436,0,breast
Palbociclib,Pictilisib,HCC1954,0,breast
Palbociclib,Pictilisib,HCC202,0,breast
Palbociclib,Pictilisib,HCC38,0,breast
Palbociclib,Pictilisib,HCC70,0,breast
Palbociclib,Pictilisib,Hs.578.T,0,breast
Palbociclib,Pictilisib,JIMT.1,0,breast
Palbociclib,Pictilisib,MCF7,1,breast
Palbociclib,Pictilisib,MDA.MB.157,0,breast
Palbociclib,Pictilisib,MDA.MB.231,0,breast
Palbociclib,Pictilisib,AU565,0,breast
Palbociclib,Pictilisib,MDA.MB.361,0,breast
Palbociclib,Pictilisib,MDA.MB.415,0,breast
Palbociclib,Pictilisib,BT.549,0,breast
Palbociclib,Pictilisib,CAL.120,0,breast
Palbociclib,Pictilisib,MDA.MB.436,0,breast
Palbociclib,Pictilisib,MDA.MB.453,1,breast
Palbociclib,Pictilisib,CAL.51,1,breast
Palbociclib,Pictilisib,MDA.MB.468,0,breast
Palbociclib,Pictilisib,CAMA.1,0,breast
Palbociclib,Pictilisib,COLO.824,0,breast
Palbociclib,Pictilisib,MFM.223,0,breast
Palbociclib,Pictilisib,DU.4475,0,breast
